Labels,sca-30-t3_final,
996.00,1.65620125E+6,
997.00,1.65890788E+6,
998.00,1.66160675E+6,
999.00,1.66429788E+6,
1000.00,1.66698113E+6,
1001.000,1.66965650E+6,
1002.000,1.67232425E+6,
1003.000,1.67498400E+6,
1004.000,1.67763600E+6,
1005.000,1.68027975E+6,
1006.000,1.68291600E+6,
1007.000,1.68554463E+6,
1008.000,1.68816513E+6,
1009.000,1.69077763E+6,
1010.00,1.69338200E+6,
1011.000,1.69597888E+6,
1012.000,1.69856775E+6,
1013.000,1.70114888E+6,
1014.000,1.70372200E+6,
1015.000,1.70628688E+6,
1016.000,1.70884425E+6,
1017.000,1.71139350E+6,
1018.000,1.71393475E+6,
1019.000,1.71646825E+6,
1020.00,1.71899363E+6,
1021.000,1.72151125E+6,
1022.000,1.72402075E+6,
1023.000,1.72652238E+6,
1024.000,1.72901588E+6,
1025.000,1.73150163E+6,
1026.000,1.73397938E+6,
1027.000,1.73644913E+6,
1028.000,1.73891088E+6,
1029.000,1.74136463E+6,
1030.00,1.74381050E+6,
1031.000,1.74624838E+6,
1032.000,1.74867800E+6,
1033.000,1.75110000E+6,
1034.000,1.75351388E+6,
1035.000,1.75591975E+6,
1036.000,1.75831763E+6,
1037.000,1.76070750E+6,
1038.000,1.76308925E+6,
1039.000,1.76546325E+6,
1040.00,1.76782900E+6,
1041.000,1.77018700E+6,
1042.000,1.77253700E+6,
1043.000,1.77487875E+6,
1044.000,1.77721250E+6,
1045.000,1.77953825E+6,
1046.000,1.78185625E+6,
1047.000,1.78416600E+6,
1048.000,1.78646788E+6,
1049.000,1.78876163E+6,
1050.00,1.79104738E+6,
1051.000,1.79332525E+6,
1052.000,1.79559500E+6,
1053.000,1.79785688E+6,
1054.000,1.80011050E+6,
1055.000,1.80235613E+6,
1056.000,1.80459425E+6,
1057.000,1.80682375E+6,
1058.000,1.80904563E+6,
1059.000,1.81125925E+6,
1060.00,1.81346488E+6,
1061.000,1.81566275E+6,
1062.000,1.81785250E+6,
1063.000,1.82003425E+6,
1064.000,1.82220788E+6,
1065.000,1.82437388E+6,
1066.000,1.82653150E+6,
1067.000,1.82868113E+6,
1068.000,1.83082313E+6,
1069.000,1.83295688E+6,
1070.00,1.83508275E+6,
1071.000,1.83720050E+6,
1072.000,1.83931038E+6,
1073.000,1.84141225E+6,
1074.000,1.84350600E+6,
1075.000,1.84559200E+6,
1076.000,1.84767000E+6,
1077.000,1.84974000E+6,
1078.000,1.85180188E+6,
1079.000,1.85385613E+6,
1080.00,1.85590200E+6,
1081.000,1.85794050E+6,
1082.000,1.85997063E+6,
1083.000,1.86199300E+6,
1084.000,1.86400725E+6,
1085.000,1.86601375E+6,
1086.000,1.86801213E+6,
1087.000,1.87000263E+6,
1088.000,1.87198525E+6,
1089.000,1.87396025E+6,
1090.00,1.87592688E+6,
1091.000,1.87788588E+6,
1092.000,1.87983675E+6,
1093.000,1.88177988E+6,
1094.000,1.88371525E+6,
1095.000,1.88564238E+6,
1096.000,1.88756213E+6,
1097.000,1.88947363E+6,
1098.000,1.89137725E+6,
1099.000,1.89327313E+6,
1100.00,1.89516100E+6,
1101.000,1.89704113E+6,
1102.000,1.89891363E+6,
1103.000,1.90077800E+6,
1104.000,1.90263475E+6,
1105.000,1.90448350E+6,
1106.000,1.90632450E+6,
1107.000,1.90815750E+6,
1108.000,1.90998288E+6,
1109.000,1.91180038E+6,
1110.00,1.91361013E+6,
1111.000,1.91541213E+6,
1112.000,1.91720638E+6,
1113.000,1.91899275E+6,
1114.000,1.92077125E+6,
1115.000,1.92254213E+6,
1116.000,1.92430525E+6,
1117.000,1.92606075E+6,
1118.000,1.92780825E+6,
1119.000,1.92954800E+6,
1120.00,1.93128038E+6,
1121.000,1.93300475E+6,
1122.000,1.93472150E+6,
1123.000,1.93643038E+6,
1124.000,1.93813175E+6,
1125.000,1.93982538E+6,
1126.000,1.94151138E+6,
1127.000,1.94318975E+6,
1128.000,1.94486025E+6,
1129.000,1.94652313E+6,
1130.00,1.94817850E+6,
1131.000,1.94982625E+6,
1132.000,1.95146625E+6,
1133.000,1.95309850E+6,
1134.000,1.95472350E+6,
1135.000,1.95634075E+6,
1136.000,1.95795038E+6,
1137.000,1.95955225E+6,
1138.000,1.96114675E+6,
1139.000,1.96273363E+6,
1140.00,1.96431288E+6,
1141.000,1.96588450E+6,
1142.000,1.96744900E+6,
1143.000,1.96900550E+6,
1144.000,1.97055463E+6,
1145.000,1.97209613E+6,
1146.000,1.97363038E+6,
1147.000,1.97515713E+6,
1148.000,1.97667600E+6,
1149.000,1.97818775E+6,
1150.00,1.97969200E+6,
1151.000,1.98118875E+6,
1152.000,1.98267788E+6,
1153.000,1.98415963E+6,
1154.000,1.98563438E+6,
1155.000,1.98710113E+6,
1156.000,1.98856075E+6,
1157.000,1.99001275E+6,
1158.000,1.99145763E+6,
1159.000,1.99289513E+6,
1160.00,1.99432525E+6,
1161.000,1.99574763E+6,
1162.000,1.99716313E+6,
1163.000,1.99857088E+6,
1164.000,1.99997175E+6,
1165.000,2.00136488E+6,
1166.000,2.00275100E+6,
1167.000,2.00412963E+6,
1168.000,2.00550113E+6,
1169.000,2.00686538E+6,
1170.00,2.00822213E+6,
1171.000,2.00957188E+6,
1172.000,2.01091400E+6,
1173.000,2.01224925E+6,
1174.000,2.01357725E+6,
1175.000,2.01489788E+6,
1176.000,2.01621138E+6,
1177.000,2.01751775E+6,
1178.000,2.01881675E+6,
1179.000,2.02010900E+6,
1180.00,2.02139363E+6,
1181.000,2.02267125E+6,
1182.000,2.02394175E+6,
1183.000,2.02520525E+6,
1184.000,2.02646163E+6,
1185.000,2.02771063E+6,
1186.000,2.02895288E+6,
1187.000,2.03018788E+6,
1188.000,2.03141575E+6,
1189.000,2.03263675E+6,
1190.00,2.03385050E+6,
1191.000,2.03505725E+6,
1192.000,2.03625713E+6,
1193.000,2.03745000E+6,
1194.000,2.03863575E+6,
1195.000,2.03981450E+6,
1196.000,2.04098625E+6,
1197.000,2.04215138E+6,
1198.000,2.04330913E+6,
1199.000,2.04446000E+6,
1200.00,2.04560413E+6,
1201.000,2.04674125E+6,
1202.000,2.04787138E+6,
1203.000,2.04899488E+6,
1204.000,2.05011125E+6,
1205.000,2.05122088E+6,
1206.000,2.05232363E+6,
1207.000,2.05341963E+6,
1208.000,2.05450863E+6,
1209.000,2.05559075E+6,
1210.00,2.05666625E+6,
1211.000,2.05773488E+6,
1212.000,2.05879688E+6,
1213.000,2.05985188E+6,
1214.000,2.06090013E+6,
1215.000,2.06194175E+6,
1216.000,2.06297663E+6,
1217.000,2.06400488E+6,
1218.000,2.06502625E+6,
1219.000,2.06604100E+6,
1220.00,2.06704913E+6,
1221.000,2.06805063E+6,
1222.000,2.06904538E+6,
1223.000,2.07003338E+6,
1224.000,2.07101475E+6,
1225.000,2.07198988E+6,
