Labels,T6 data_Apr2019_Fluoracle2,
1219.000,9.61324751E-1,
1220.00,9.61832464E-1,
1221.000,9.62336481E-1,
1222.000,9.62836742E-1,
1223.000,9.63333368E-1,
1224.000,9.63826060E-1,
1225.000,9.64315295E-1,
1226.000,9.64800775E-1,
1227.000,9.65282619E-1,
1228.000,9.65760767E-1,
1229.000,9.66235161E-1,
1230.00,9.66705918E-1,
1231.000,9.67173159E-1,
1232.000,9.67636645E-1,
1233.000,9.68096495E-1,
1234.000,9.68552709E-1,
1235.000,9.69005227E-1,
1236.000,9.69454288E-1,
1237.000,9.69899595E-1,
1238.000,9.70341444E-1,
1239.000,9.70779598E-1,
1240.00,9.71214175E-1,
1241.000,9.71645057E-1,
1242.000,9.72072482E-1,
1243.000,9.72496271E-1,
1244.000,9.72916543E-1,
1245.000,9.73333240E-1,
1246.000,9.73746359E-1,
1247.000,9.74155903E-1,
1248.000,9.74562049E-1,
1249.000,9.74964559E-1,
1250.00,9.75363612E-1,
1251.000,9.75759089E-1,
1252.000,9.76151109E-1,
1253.000,9.76539612E-1,
1254.000,9.76924598E-1,
1255.000,9.77306068E-1,
1256.000,9.77684021E-1,
1257.000,9.78058577E-1,
1258.000,9.78429675E-1,
1259.000,9.78797317E-1,
1260.00,9.79161561E-1,
1261.000,9.79522169E-1,
1262.000,9.79879558E-1,
1263.000,9.80233312E-1,
1264.000,9.80583787E-1,
1265.000,9.80930746E-1,
1266.000,9.81274366E-1,
1267.000,9.81614649E-1,
1268.000,9.81951356E-1,
1269.000,9.82284784E-1,
1270.00,9.82614756E-1,
