Labels	T4_data_Sept2014_v2	
932.00	6.78816199E-1	
933.00	6.80304587E-1	
934.00	6.81790531E-1	
935.00	6.83273852E-1	
936.00	6.84754670E-1	
937.00	6.86232924E-1	
938.00	6.87708616E-1	
939.00	6.89181685E-1	
940.00	6.90652072E-1	
941.00	6.92119896E-1	
942.00	6.93585157E-1	
943.00	6.95047736E-1	
944.00	6.96507692E-1	
945.00	6.97965205E-1	
946.00	6.99419916E-1	
947.00	7.00872064E-1	
948.00	7.02321529E-1	
949.00	7.03768432E-1	
950.00	7.05212712E-1	
951.00	7.06654310E-1	
952.00	7.08093345E-1	
953.00	7.09529638E-1	
954.00	7.10963368E-1	
955.00	7.12394476E-1	
956.00	7.13822782E-1	
957.00	7.15248585E-1	
958.00	7.16671646E-1	
959.00	7.18092024E-1	
960.00	7.19509542E-1	
961.00	7.20924377E-1	
962.00	7.22336233E-1	
963.00	7.23745346E-1	
964.00	7.25151479E-1	
965.00	7.26554513E-1	
966.00	7.27954626E-1	
967.00	7.29351342E-1	
968.00	7.30745137E-1	
969.00	7.32135653E-1	
970.00	7.33522952E-1	
971.00	7.34907031E-1	
972.00	7.36287892E-1	
973.00	7.37665594E-1	
974.00	7.39040077E-1	
975.00	7.40411580E-1	
976.00	7.41779804E-1	
977.00	7.43145108E-1	
978.00	7.44507432E-1	
979.00	7.45866716E-1	
980.00	7.47222900E-1	
981.00	7.48576224E-1	
982.00	7.49926329E-1	
983.00	7.51273572E-1	
984.00	7.52617598E-1	
985.00	7.53958523E-1	
986.00	7.55296350E-1	
987.00	7.56631076E-1	
988.00	7.57962406E-1	
989.00	7.59290636E-1	
990.00	7.60615528E-1	
991.00	7.61937082E-1	
992.00	7.63255239E-1	
993.00	7.64570117E-1	
994.00	7.65881479E-1	
995.00	7.67189384E-1	
996.00	7.68493891E-1	
997.00	7.69794881E-1	
998.00	7.71092236E-1	
999.00	7.72386074E-1	
1000.00	7.73676276E-1	
1001.000	7.74962902E-1	
1002.000	7.76245892E-1	
1003.000	7.77525306E-1	
1004.000	7.78801143E-1	
1005.000	7.80073464E-1	
1006.000	7.81342208E-1	
1007.000	7.82607377E-1	
1008.000	7.83869147E-1	
1009.000	7.85127282E-1	
1010.00	7.86381960E-1	
1011.000	7.87632883E-1	
1012.000	7.88880348E-1	
1013.000	7.90124178E-1	
