Labels,T2 data_interpolated up to 2500,
834.00,6.00492120E-1,
835.00,6.02110803E-1,
836.00,6.03739142E-1,
837.00,6.05376303E-1,
838.00,6.07021272E-1,
839.00,6.08671427E-1,
840.00,6.10325098E-1,
841.00,6.11980140E-1,
842.00,6.13634646E-1,
843.00,6.15287602E-1,
844.00,6.16939664E-1,
845.00,6.18592560E-1,
846.00,6.20249450E-1,
847.00,6.21913791E-1,
848.00,6.23588383E-1,
849.00,6.25274539E-1,
850.00,6.26972854E-1,
851.00,6.28683805E-1,
852.00,6.30406976E-1,
853.00,6.32141709E-1,
854.00,6.33887887E-1,
855.00,6.35644078E-1,
856.00,6.37409687E-1,
857.00,6.39185905E-1,
858.00,6.40972316E-1,
859.00,6.42766416E-1,
860.00,6.44563913E-1,
861.00,6.46360755E-1,
862.00,6.48151577E-1,
863.00,6.49932504E-1,
864.00,6.51701212E-1,
865.00,6.53456032E-1,
866.00,6.55195773E-1,
867.00,6.56921566E-1,
868.00,6.58634305E-1,
869.00,6.60333216E-1,
870.00,6.62016809E-1,
871.00,6.63683534E-1,
872.00,6.65333927E-1,
873.00,6.66970611E-1,
874.00,6.68599367E-1,
875.00,6.70226097E-1,
876.00,6.71855927E-1,
877.00,6.73493266E-1,
878.00,6.75141037E-1,
879.00,6.76800370E-1,
880.00,6.78470612E-1,
881.00,6.80149972E-1,
882.00,6.81836724E-1,
883.00,6.83529496E-1,
884.00,6.85227215E-1,
885.00,6.86927855E-1,
886.00,6.88629687E-1,
887.00,6.90329492E-1,
888.00,6.92024231E-1,
889.00,6.93711638E-1,
890.00,6.95389748E-1,
891.00,6.97058022E-1,
892.00,6.98717594E-1,
893.00,7.00369656E-1,
894.00,7.02015102E-1,
895.00,7.03653455E-1,
896.00,7.05283165E-1,
897.00,7.06900775E-1,
898.00,7.08503187E-1,
899.00,7.10088015E-1,
900.00,7.11654246E-1,
901.00,7.13201523E-1,
902.00,7.14731455E-1,
903.00,7.16245651E-1,
904.00,7.17746735E-1,
905.00,7.19238400E-1,
906.00,7.20724761E-1,
907.00,7.22209811E-1,
908.00,7.23696947E-1,
909.00,7.25187957E-1,
910.00,7.26683676E-1,
911.00,7.28184938E-1,
912.00,7.29692221E-1,
913.00,7.31204450E-1,
914.00,7.32718885E-1,
915.00,7.34231055E-1,
916.00,7.35737562E-1,
917.00,7.37237632E-1,
918.00,7.38730788E-1,
919.00,7.40219414E-1,
920.00,7.41705120E-1,
921.00,7.43187845E-1,
922.00,7.44666576E-1,
923.00,7.46141315E-1,
924.00,7.47612119E-1,
925.00,7.49078333E-1,
926.00,7.50539958E-1,
927.00,7.51996219E-1,
928.00,7.53445923E-1,
929.00,7.54887700E-1,
930.00,7.56321192E-1,
931.00,7.57745922E-1,
932.00,7.59161830E-1,
933.00,7.60569155E-1,
934.00,7.61967182E-1,
935.00,7.63356030E-1,
936.00,7.64735997E-1,
937.00,7.66107082E-1,
938.00,7.67469406E-1,
939.00,7.68823981E-1,
940.00,7.70172119E-1,
941.00,7.71515667E-1,
942.00,7.72856414E-1,
943.00,7.74196327E-1,
944.00,7.75537491E-1,
945.00,7.76881218E-1,
946.00,7.78227568E-1,
947.00,7.79577553E-1,
948.00,7.80932367E-1,
949.00,7.82292724E-1,
950.00,7.83657134E-1,
951.00,7.85023630E-1,
952.00,7.86391139E-1,
953.00,7.87757218E-1,
954.00,7.89119184E-1,
955.00,7.90473104E-1,
956.00,7.91815162E-1,
957.00,7.93143034E-1,
958.00,7.94456482E-1,
959.00,7.95756340E-1,
960.00,7.97044396E-1,
961.00,7.98322201E-1,
962.00,7.99591601E-1,
963.00,8.00854802E-1,
964.00,8.02113414E-1,
965.00,8.03368688E-1,
966.00,8.04621458E-1,
967.00,8.05871487E-1,
968.00,8.07118058E-1,
969.00,8.08360636E-1,
970.00,8.09599996E-1,
971.00,8.10839534E-1,
972.00,8.12082708E-1,
973.00,8.13331485E-1,
974.00,8.14586699E-1,
975.00,8.15848410E-1,
976.00,8.17114770E-1,
977.00,8.18383574E-1,
978.00,8.19652796E-1,
979.00,8.20919812E-1,
980.00,8.22181463E-1,
981.00,8.23435426E-1,
982.00,8.24679732E-1,
983.00,8.25912714E-1,
984.00,8.27133834E-1,
985.00,8.28342080E-1,
986.00,8.29536676E-1,
987.00,8.30717981E-1,
988.00,8.31887364E-1,
989.00,8.33045900E-1,
990.00,8.34194243E-1,
991.00,8.35332990E-1,
992.00,8.36461604E-1,
993.00,8.37579489E-1,
994.00,8.38686109E-1,
995.00,8.39782417E-1,
996.00,8.40870142E-1,
997.00,8.41951072E-1,
998.00,8.43027771E-1,
999.00,8.44102383E-1,
1000.00,8.45176399E-1,
1001.000,8.46274436E-1,
1002.000,8.47368062E-1,
1003.000,8.48457456E-1,
1004.000,8.49542737E-1,
1005.000,8.50623965E-1,
1006.000,8.51701438E-1,
1007.000,8.52775156E-1,
1008.000,8.53845298E-1,
1009.000,8.54911864E-1,
1010.00,8.55975032E-1,
1011.000,8.57034743E-1,
1012.000,8.58091056E-1,
1013.000,8.59144032E-1,
1014.000,8.60193610E-1,
1015.000,8.61239910E-1,
1016.000,8.62282813E-1,
1017.000,8.63322318E-1,
1018.000,8.64358366E-1,
1019.000,8.65390956E-1,
1020.00,8.66420031E-1,
1021.000,8.67445588E-1,
1022.000,8.68467450E-1,
1023.000,8.69485676E-1,
1024.000,8.70500207E-1,
1025.000,8.71510983E-1,
1026.000,8.72518003E-1,
1027.000,8.73521149E-1,
1028.000,8.74520421E-1,
1029.000,8.75515819E-1,
1030.00,8.76507282E-1,
1031.000,8.77494872E-1,
1032.000,8.78478408E-1,
1033.000,8.79457951E-1,
1034.000,8.80433440E-1,
1035.000,8.81404996E-1,
1036.000,8.82372439E-1,
1037.000,8.83335769E-1,
1038.000,8.84295046E-1,
1039.000,8.85250270E-1,
1040.00,8.86201322E-1,
1041.000,8.87148321E-1,
1042.000,8.88091207E-1,
1043.000,8.89030099E-1,
1044.000,8.89964879E-1,
1045.000,8.90895605E-1,
1046.000,8.91822338E-1,
1047.000,8.92745197E-1,
1048.000,8.93664122E-1,
1049.000,8.94579232E-1,
1050.00,8.95490587E-1,
1051.000,8.96398306E-1,
1052.000,8.97302449E-1,
1053.000,8.98203075E-1,
1054.000,8.99100423E-1,
1055.000,8.99994493E-1,
1056.000,9.00885344E-1,
1057.000,9.01773214E-1,
1058.000,9.02658165E-1,
1059.000,9.03540254E-1,
1060.00,9.04419541E-1,
1061.000,9.05296206E-1,
1062.000,9.06170189E-1,
1063.000,9.07041550E-1,
1064.000,9.07910347E-1,
1065.000,9.08776522E-1,
1066.000,9.09640014E-1,
1067.000,9.10500884E-1,
1068.000,9.11358893E-1,
1069.000,9.12213981E-1,
1070.00,9.13066030E-1,
1071.000,9.13914859E-1,
1072.000,9.14760292E-1,
1073.000,9.15602148E-1,
1074.000,9.16440248E-1,
1075.000,9.17274296E-1,
1076.000,9.18104291E-1,
1077.000,9.18929815E-1,
1078.000,9.19750750E-1,
1079.000,9.20566976E-1,
1080.00,9.21378195E-1,
1081.000,9.22184408E-1,
1082.000,9.22985494E-1,
1083.000,9.23781157E-1,
1084.000,9.24571514E-1,
1085.000,9.25356507E-1,
1086.000,9.26135957E-1,
1087.000,9.26909983E-1,
1088.000,9.27678466E-1,
1089.000,9.28441525E-1,
1090.00,9.29199219E-1,
1091.000,9.29951489E-1,
1092.000,9.30698514E-1,
1093.000,9.31440294E-1,
1094.000,9.32176888E-1,
1095.000,9.32908535E-1,
1096.000,9.33635175E-1,
1097.000,9.34356987E-1,
1098.000,9.35074031E-1,
1099.000,9.35786426E-1,
1100.00,9.36494172E-1,
1101.000,9.37197566E-1,
1102.000,9.37896430E-1,
1103.000,9.38591003E-1,
1104.000,9.39281344E-1,
1105.000,9.39967453E-1,
1106.000,9.40649390E-1,
1107.000,9.41327214E-1,
1108.000,9.42000985E-1,
1109.000,9.42670584E-1,
1110.00,9.43336189E-1,
1111.000,9.43997622E-1,
1112.000,9.44655061E-1,
1113.000,9.45308268E-1,
1114.000,9.45957303E-1,
1115.000,9.46602106E-1,
1116.000,9.47242618E-1,
1117.000,9.47878659E-1,
1118.000,9.48510349E-1,
1119.000,9.49137330E-1,
1120.00,9.49759781E-1,
1121.000,9.50377345E-1,
1122.000,9.50990200E-1,
1123.000,9.51597989E-1,
1124.000,9.52200830E-1,
1125.000,9.52798545E-1,
1126.000,9.53391135E-1,
1127.000,9.53978419E-1,
1128.000,9.54560459E-1,
1129.000,9.55137134E-1,
1130.00,9.55708504E-1,
1131.000,9.56274450E-1,
1132.000,9.56835032E-1,
1133.000,9.57390249E-1,
1134.000,9.57939923E-1,
1135.000,9.58484292E-1,
1136.000,9.59023178E-1,
1137.000,9.59556699E-1,
1138.000,9.60084677E-1,
1139.000,9.60607290E-1,
1140.00,9.61124361E-1,
1141.000,9.61635828E-1,
1142.000,9.62141752E-1,
1143.000,9.62641954E-1,
1144.000,9.63136435E-1,
1145.000,9.63625193E-1,
1146.000,9.64107931E-1,
1147.000,9.64584827E-1,
1148.000,9.65055645E-1,
1149.000,9.65520263E-1,
1150.00,9.65978742E-1,
1151.000,9.66430843E-1,
1152.000,9.66876626E-1,
1153.000,9.67315912E-1,
1154.000,9.67748702E-1,
1155.000,9.68174934E-1,
1156.000,9.68594551E-1,
1157.000,9.69007552E-1,
1158.000,9.69413936E-1,
1159.000,9.69813704E-1,
1160.00,9.70206797E-1,
1161.000,9.70593512E-1,
1162.000,9.70973730E-1,
1163.000,9.71347570E-1,
1164.000,9.71715212E-1,
1165.000,9.72076833E-1,
1166.000,9.72432613E-1,
1167.000,9.72782671E-1,
1168.000,9.73127425E-1,
1169.000,9.73467052E-1,
1170.00,9.73801851E-1,
1171.000,9.74132121E-1,
1172.000,9.74458337E-1,
1173.000,9.74780798E-1,
1174.000,9.75099802E-1,
1175.000,9.75415707E-1,
1176.000,9.75728929E-1,
1177.000,9.76039886E-1,
1178.000,9.76348758E-1,
1179.000,9.76655960E-1,
1180.00,9.76961792E-1,
1181.000,9.77266490E-1,
1182.000,9.77570236E-1,
1183.000,9.77873206E-1,
1184.000,9.78175521E-1,
1185.000,9.78477299E-1,
1186.000,9.78778422E-1,
1187.000,9.79078829E-1,
1188.000,9.79378521E-1,
1189.000,9.79677141E-1,
1190.00,9.79974568E-1,
1191.000,9.80270386E-1,
1192.000,9.80564296E-1,
1193.000,9.80856001E-1,
1194.000,9.81145024E-1,
1195.000,9.81431067E-1,
1196.000,9.81713653E-1,
1197.000,9.81992543E-1,
1198.000,9.82267380E-1,
1199.000,9.82537925E-1,
1200.00,9.82804000E-1,
1201.000,9.83065486E-1,
1202.000,9.83322382E-1,
1203.000,9.83574808E-1,
1204.000,9.83822823E-1,
1205.000,9.84066725E-1,
1206.000,9.84306753E-1,
1207.000,9.84543443E-1,
1208.000,9.84777153E-1,
1209.000,9.85008359E-1,
1210.00,9.85237598E-1,
1211.000,9.85465288E-1,
1212.000,9.85692143E-1,
1213.000,9.85918581E-1,
1214.000,9.86145079E-1,
1215.000,9.86372113E-1,
1216.000,9.86599982E-1,
1217.000,9.86829162E-1,
1218.000,9.87059891E-1,
