Labels,T data_N11P_Feb2020_up to 3000,
996.00,7.84996390E-1,
997.00,7.86252379E-1,
998.00,7.87502527E-1,
999.00,7.88746893E-1,
1000.00,7.89985836E-1,
1001.000,7.91218936E-1,
1002.000,7.92446554E-1,
1003.000,7.93668330E-1,
1004.000,7.94884682E-1,
1005.000,7.96095490E-1,
1006.000,7.97300756E-1,
1007.000,7.98500478E-1,
1008.000,7.99695015E-1,
1009.000,8.00884545E-1,
1010.00,8.02068889E-1,
1011.000,8.03247869E-1,
1012.000,8.04422140E-1,
1013.000,8.05591702E-1,
1014.000,8.06756556E-1,
1015.000,8.07916939E-1,
1016.000,8.09072614E-1,
1017.000,8.10224354E-1,
1018.000,8.11371565E-1,
1019.000,8.12514901E-1,
1020.00,8.13654006E-1,
1021.000,8.14789474E-1,
1022.000,8.15921128E-1,
1023.000,8.17049503E-1,
1024.000,8.18174183E-1,
1025.000,8.19295704E-1,
1026.000,8.20413768E-1,
1027.000,8.21528792E-1,
1028.000,8.22640598E-1,
1029.000,8.23749483E-1,
1030.00,8.24855745E-1,
1031.000,8.25958908E-1,
1032.000,8.27059388E-1,
1033.000,8.28157008E-1,
1034.000,8.29252064E-1,
1035.000,8.30344379E-1,
1036.000,8.31434131E-1,
1037.000,8.32521260E-1,
1038.000,8.33605468E-1,
1039.000,8.34687352E-1,
1040.00,8.35766315E-1,
1041.000,8.36842418E-1,
1042.000,8.37915838E-1,
1043.000,8.38986158E-1,
1044.000,8.40053618E-1,
1045.000,8.41117918E-1,
1046.000,8.42179000E-1,
1047.000,8.43236744E-1,
1048.000,8.44290733E-1,
1049.000,8.45341623E-1,
1050.00,8.46388578E-1,
1051.000,8.47431540E-1,
1052.000,8.48470628E-1,
1053.000,8.49505484E-1,
1054.000,8.50536406E-1,
1055.000,8.51562619E-1,
1056.000,8.52584124E-1,
1057.000,8.53601098E-1,
1058.000,8.54613125E-1,
1059.000,8.55620086E-1,
1060.00,8.56621921E-1,
1061.000,8.57618451E-1,
1062.000,8.58609438E-1,
1063.000,8.59594941E-1,
1064.000,8.60574663E-1,
1065.000,8.61548305E-1,
1066.000,8.62515926E-1,
1067.000,8.63477528E-1,
1068.000,8.64432871E-1,
1069.000,8.65381837E-1,
1070.00,8.66324008E-1,
1071.000,8.67259920E-1,
1072.000,8.68188918E-1,
1073.000,8.69111121E-1,
1074.000,8.70026767E-1,
1075.000,8.70935321E-1,
1076.000,8.71836782E-1,
1077.000,8.72731447E-1,
1078.000,8.73618960E-1,
1079.000,8.74499738E-1,
1080.00,8.75373363E-1,
1081.000,8.76240194E-1,
1082.000,8.77099872E-1,
1083.000,8.77952456E-1,
1084.000,8.78798246E-1,
1085.000,8.79637241E-1,
1086.000,8.80469680E-1,
1087.000,8.81295025E-1,
1088.000,8.82113755E-1,
1089.000,8.82925928E-1,
1090.00,8.83731782E-1,
1091.000,8.84531140E-1,
1092.000,8.85324121E-1,
1093.000,8.86111081E-1,
1094.000,8.86892080E-1,
1095.000,8.87666941E-1,
1096.000,8.88436079E-1,
1097.000,8.89199674E-1,
1098.000,8.89958084E-1,
1099.000,8.90710890E-1,
1100.00,8.91458452E-1,
1101.000,8.92201364E-1,
1102.000,8.92939210E-1,
1103.000,8.93672407E-1,
1104.000,8.94400775E-1,
1105.000,8.95125031E-1,
1106.000,8.95844758E-1,
1107.000,8.96560609E-1,
1108.000,8.97272170E-1,
1109.000,8.97979856E-1,
1110.00,8.98684084E-1,
1111.000,8.99384439E-1,
1112.000,9.00081575E-1,
1113.000,9.00775433E-1,
1114.000,9.01466012E-1,
1115.000,9.02153432E-1,
1116.000,9.02837992E-1,
1117.000,9.03519928E-1,
1118.000,9.04199004E-1,
1119.000,9.04875159E-1,
1120.00,9.05548990E-1,
1121.000,9.06220436E-1,
1122.000,9.06889260E-1,
1123.000,9.07555699E-1,
1124.000,9.08219814E-1,
1125.000,9.08881485E-1,
1126.000,9.09541130E-1,
1127.000,9.10198629E-1,
1128.000,9.10853803E-1,
1129.000,9.11507130E-1,
1130.00,9.12158132E-1,
1131.000,9.12807465E-1,
1132.000,9.13454711E-1,
1133.000,9.14099932E-1,
1134.000,9.14743543E-1,
1135.000,9.15385067E-1,
1136.000,9.16024685E-1,
1137.000,9.16662753E-1,
1138.000,9.17299032E-1,
1139.000,9.17933464E-1,
1140.00,9.18565989E-1,
1141.000,9.19196725E-1,
