Labels,SCA30-2-t_old data from 844_Oct2020,
882.00,7.20523596E-1,
883.00,7.21926451E-1,
884.00,7.23317921E-1,
885.00,7.24696755E-1,
886.00,7.26063967E-1,
887.00,7.27421045E-1,
888.00,7.28770554E-1,
889.00,7.30116129E-1,
890.00,7.31461883E-1,
891.00,7.32813478E-1,
892.00,7.34174967E-1,
893.00,7.35546947E-1,
894.00,7.36927032E-1,
895.00,7.38314509E-1,
896.00,7.39706874E-1,
897.00,7.41100729E-1,
898.00,7.42490768E-1,
899.00,7.43870258E-1,
900.00,7.45232701E-1,
901.00,7.46575415E-1,
902.00,7.47896731E-1,
903.00,7.49198139E-1,
904.00,7.50480950E-1,
905.00,7.51748741E-1,
906.00,7.53005028E-1,
907.00,7.54255235E-1,
908.00,7.55503774E-1,
909.00,7.56753683E-1,
910.00,7.58009136E-1,
911.00,7.59274006E-1,
912.00,7.60549724E-1,
913.00,7.61833668E-1,
914.00,7.63122916E-1,
915.00,7.64413595E-1,
916.00,7.65700758E-1,
917.00,7.66980469E-1,
918.00,7.68249869E-1,
919.00,7.69509137E-1,
920.00,7.70758688E-1,
921.00,7.71998048E-1,
922.00,7.73230016E-1,
923.00,7.74458051E-1,
924.00,7.75685728E-1,
925.00,7.76911736E-1,
926.00,7.78133333E-1,
927.00,7.79350579E-1,
928.00,7.80567467E-1,
929.00,7.81790555E-1,
930.00,7.83023119E-1,
931.00,7.84265578E-1,
932.00,7.85517693E-1,
933.00,7.86777258E-1,
934.00,7.88040876E-1,
935.00,7.89303124E-1,
936.00,7.90559351E-1,
937.00,7.91807473E-1,
938.00,7.93047726E-1,
939.00,7.94280648E-1,
940.00,7.95504570E-1,
941.00,7.96717405E-1,
942.00,7.97917902E-1,
943.00,7.99105585E-1,
944.00,8.00281048E-1,
945.00,8.01448286E-1,
946.00,8.02612126E-1,
947.00,8.03777695E-1,
948.00,8.04947555E-1,
949.00,8.06123316E-1,
950.00,8.07307899E-1,
951.00,8.08502257E-1,
952.00,8.09704363E-1,
953.00,8.10909629E-1,
954.00,8.12112272E-1,
955.00,8.13310444E-1,
956.00,8.14505219E-1,
957.00,8.15698862E-1,
958.00,8.16893458E-1,
959.00,8.18090498E-1,
960.00,8.19288969E-1,
961.00,8.20487916E-1,
962.00,8.21686506E-1,
963.00,8.22882771E-1,
964.00,8.24076653E-1,
965.00,8.25221300E-1,
966.00,8.26359808E-1,
967.00,8.27492476E-1,
968.00,8.28619123E-1,
969.00,8.29739928E-1,
970.00,8.30854714E-1,
971.00,8.31964076E-1,
972.00,8.33067775E-1,
973.00,8.34166110E-1,
974.00,8.35259080E-1,
975.00,8.36346865E-1,
976.00,8.37429523E-1,
977.00,8.38507235E-1,
978.00,8.39580417E-1,
979.00,8.40649068E-1,
980.00,8.41713607E-1,
981.00,8.42774093E-1,
982.00,8.43830764E-1,
983.00,8.44883680E-1,
984.00,8.45933080E-1,
985.00,8.46979022E-1,
986.00,8.48021150E-1,
987.00,8.49059761E-1,
988.00,8.50094736E-1,
989.00,8.51125658E-1,
990.00,8.52152646E-1,
991.00,8.53175282E-1,
992.00,8.54193330E-1,
993.00,8.55206788E-1,
994.00,8.56215477E-1,
995.00,8.57219219E-1,
996.00,8.58217537E-1,
997.00,8.59210193E-1,
998.00,8.60196829E-1,
999.00,8.61177504E-1,
1000.00,8.62151921E-1,
1001.000,8.63150775E-1,
1002.000,8.64145517E-1,
1003.000,8.65136206E-1,
1004.000,8.66122901E-1,
1005.000,8.67105544E-1,
1006.000,8.68084133E-1,
1007.000,8.69058788E-1,
1008.000,8.70029390E-1,
1009.000,8.70995939E-1,
1010.00,8.71958554E-1,
1011.000,8.72917116E-1,
1012.000,8.73871684E-1,
1013.000,8.74822080E-1,
1014.000,8.75768781E-1,
1015.000,8.76711369E-1,
1016.000,8.77650023E-1,
1017.000,8.78584504E-1,
1018.000,8.79515290E-1,
1019.000,8.80441844E-1,
1020.00,8.81364703E-1,
1021.000,8.82283390E-1,
1022.000,8.83198202E-1,
1023.000,8.84108901E-1,
1024.000,8.85015547E-1,
1025.000,8.85918379E-1,
1026.000,8.86817217E-1,
1027.000,8.87711942E-1,
1028.000,8.88602972E-1,
1029.000,8.89489770E-1,
1030.00,8.90372694E-1,
1031.000,8.91251743E-1,
1032.000,8.92126739E-1,
1033.000,8.92997622E-1,
1034.000,8.93864691E-1,
1035.000,8.94727767E-1,
1036.000,8.95586789E-1,
1037.000,8.96441996E-1,
1038.000,8.97293091E-1,
1039.000,8.98140132E-1,
1040.00,8.98983419E-1,
1041.000,8.99822652E-1,
1042.000,9.00658011E-1,
1043.000,9.01489198E-1,
1044.000,9.02316570E-1,
1045.000,9.03139949E-1,
1046.000,9.03959274E-1,
1047.000,9.04774725E-1,
1048.000,9.05586302E-1,
1049.000,9.06394005E-1,
1050.00,9.07197595E-1,
1051.000,9.07997191E-1,
1052.000,9.08792853E-1,
1053.000,9.09584701E-1,
1054.000,9.10372615E-1,
1055.000,9.11156476E-1,
1056.000,9.11936402E-1,
1057.000,9.12712574E-1,
1058.000,9.13484573E-1,
1059.000,9.14253056E-1,
1060.00,9.15017128E-1,
1061.000,9.15777445E-1,
1062.000,9.16534066E-1,
1063.000,9.17286634E-1,
1064.000,9.18035209E-1,
1065.000,9.18780029E-1,
1066.000,9.19520676E-1,
1067.000,9.20257807E-1,
1068.000,9.20990884E-1,
1069.000,9.21720088E-1,
1070.00,9.22445297E-1,
1071.000,9.23166871E-1,
1072.000,9.23884273E-1,
1073.000,9.24597979E-1,
1074.000,9.25307751E-1,
1075.000,9.26013708E-1,
1076.000,9.26715612E-1,
1077.000,9.27413762E-1,
1078.000,9.28108156E-1,
1079.000,9.28798497E-1,
1080.00,9.29484844E-1,
1081.000,9.30167735E-1,
1082.000,9.30846393E-1,
1083.000,9.31521416E-1,
1084.000,9.32192385E-1,
1085.000,9.32859540E-1,
1086.000,9.33522820E-1,
1087.000,9.34182286E-1,
1088.000,9.34837699E-1,
1089.000,9.35489357E-1,
1090.00,9.36137140E-1,
1091.000,9.36781049E-1,
1092.000,9.37421203E-1,
1093.000,9.38057363E-1,
1094.000,9.38689590E-1,
1095.000,9.39317942E-1,
1096.000,9.39942598E-1,
1097.000,9.40563262E-1,
1098.000,9.41179812E-1,
1099.000,9.41792905E-1,
1100.00,9.42401826E-1,
1101.000,9.43006933E-1,
1102.000,9.43608403E-1,
1103.000,9.44205701E-1,
1104.000,9.44799423E-1,
1105.000,9.45389152E-1,
1106.000,9.45975244E-1,
1107.000,9.46557224E-1,
1108.000,9.47135508E-1,
1109.000,9.47710097E-1,
1110.00,9.48280752E-1,
1111.000,9.48847532E-1,
1112.000,9.49410975E-1,
1113.000,9.49970245E-1,
1114.000,9.50525880E-1,
1115.000,9.51077878E-1,
1116.000,9.51626122E-1,
1117.000,9.52170551E-1,
1118.000,9.52711403E-1,
1119.000,9.53248501E-1,
1120.00,9.53781903E-1,
1121.000,9.54311728E-1,
1122.000,9.54837799E-1,
1123.000,9.55360413E-1,
1124.000,9.55879271E-1,
1125.000,9.56394613E-1,
1126.000,9.56906259E-1,
1127.000,9.57414627E-1,
1128.000,9.57919121E-1,
1129.000,9.58419979E-1,
1130.00,9.58917618E-1,
1131.000,9.59411621E-1,
1132.000,9.59902167E-1,
1133.000,9.60389018E-1,
1134.000,9.60872531E-1,
1135.000,9.61352587E-1,
1136.000,9.61829126E-1,
1137.000,9.62302089E-1,
1138.000,9.62771654E-1,
1139.000,9.63237822E-1,
1140.00,9.63700533E-1,
1141.000,9.64159906E-1,
1142.000,9.64615762E-1,
1143.000,9.65068340E-1,
1144.000,9.65517223E-1,
1145.000,9.65962887E-1,
1146.000,9.66405153E-1,
1147.000,9.66844022E-1,
1148.000,9.67279255E-1,
1149.000,9.67711389E-1,
1150.00,9.68139827E-1,
1151.000,9.68565166E-1,
1152.000,9.68987048E-1,
1153.000,9.69405293E-1,
1154.000,9.69820380E-1,
1155.000,9.70232069E-1,
1156.000,9.70640302E-1,
1157.000,9.71044958E-1,
